time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.5868034535185353e-07,-1.4625204634965265e-08,0.0030207959061695363,6.282813433932642,0.00025055770944248934,0.0,-2.252846720443969e-05,-1.4971062833553145e-05,0.10068888708853019,-0.02300380066800015,0.011438075134146379,0.0,436.91539740841023,437.867742134337,437.8029277201592,435.8851542070969
0.12000000000000001,-1.1097295748586415e-05,-1.632490943313135e-05,0.016016861943411446,6.281465741327214,0.0011058590639780874,0.0,-0.0004330556287883147,-0.0006944189252684254,0.3324738361080842,-0.021398611493122804,0.01936511733622359,0.0,476.48390756750376,477.0893094795755,476.97378072874,477.09634115780733
0.18,-6.653924588343675e-05,-0.00010132196165692156,0.04048755545509638,6.2802691824591435,0.0024243824975744843,0.0,-0.001551260574469738,-0.002274377488031297,0.4831631939726242,-0.017179313158650893,0.02674195876185439,0.0,452.8879848374074,453.4808421359052,452.31991272648906,452.65955820182063
0.23999999999999996,-0.00022000010620854145,-0.00030644643758614466,0.07393675644245469,6.279301279446443,0.004214643503792637,0.0,-0.003749947050812637,-0.004671925677196367,0.6317383538786912,-0.014114883668930135,0.0354030285418853,0.0,451.409832352229,452.1083554621734,452.7545367042412,453.001078684469
0.3,-0.0005498085885819863,-0.000678860042605724,0.11695053451612808,6.278272652698536,0.006107509306527703,0.0,-0.007470525764689918,-0.007845921025613678,0.8019483475971827,-0.02401851827885231,0.022438057830669596,0.0,459.7459943442969,458.7180599845771,459.31376999596307,458.5278609330321
0.36000000000000004,-0.0011547871410605482,-0.0012767918952975854,0.17194232952833277,6.2766255446047055,0.007989136240833972,0.0,-0.012894858375655596,-0.012269888965882473,1.030930780401218,-0.03539594016709146,0.044971410932880734,0.0,475.2831618715282,477.0070676232194,477.7991944729942,476.93097332009506
0.4200000000000001,-0.002107358452371584,-0.002159296357023147,0.2372111566141249,6.274699215802329,0.010694350626286209,0.0,-0.01913766058454319,-0.017356087130879706,1.1445854309531662,-0.026226427755150952,0.04531683195241711,0.0,443.26466213072996,443.2942249766478,440.95185648690546,441.7082003856289
0.48000000000000015,-0.0035011866705926737,-0.00339279440752675,0.31014255141494523,6.273338308838952,0.012949485264821092,0.0,-0.027599566799178014,-0.023917037453737834,1.2863073011673984,-0.01639817721562608,0.013905184749663934,0.0,453.44488893953724,450.9152807853023,449.98017963231956,450.7749639284563
0.5400000000000001,-0.005386961905869837,-0.005003774062590967,0.3872010615583536,6.272255567149546,0.013458497379344792,0.0,-0.03532059178416257,-0.02987164463186261,1.2823122975747834,-0.02156274369482828,-0.005497100313279191,0.0,406.29238886205326,404.54920042220266,403.38218694017934,402.91560784382267
0.6000000000000002,-0.007759661540759018,-0.007005660905081413,0.4653923112741999,6.272112707237458,0.013211470349571819,0.0,-0.04374201645333915,-0.03691045248874332,1.324014656796583,0.02093338526134898,-0.0014907685641238591,0.0,419.8547810725295,420.2022698948411,417.513606142148,421.20457315656415
0.6600000000000003,-0.010709085154845888,-0.009487371745835837,0.5518015396596079,6.273220887853169,0.012909720937005709,0.0,-0.05454605065164518,-0.04566592599444837,1.5560081129570222,0.013020874723847081,-0.013260760442392976,0.0,479.51031724423814,478.61553413035887,478.6118564109848,478.009242321656
0.7200000000000003,-0.014229480212032,-0.012417317869187991,0.6468473977513906,6.273615420160272,0.012688873413466695,0.0,-0.06275560377375586,-0.051937457056759416,1.6121104815892335,-0.011207614114447437,0.01069674176704553,0.0,423.72440823635975,425.7788913609721,426.6733280902316,424.5999302383877
0.7800000000000004,-0.01829135898755038,-0.015757608524120167,0.7490135695825674,6.272853066658371,0.01378782888703789,0.0,-0.07273991097752974,-0.05948459596006425,1.7931597714362877,-0.015884681460885005,0.03033852776922789,0.0,463.131283516338,464.6734170803177,465.147034127212,464.780773855451
0.8400000000000004,-0.022931641788222882,-0.01953121153755107,0.8584713280514276,6.272509000484336,0.01553474828125978,0.0,-0.08210693436822716,-0.06635862256748279,1.8553295508567085,0.00928652350643841,0.026549715590913906,0.0,428.35894236198226,428.03693278007233,426.63962302603124,428.7832915756746
0.9000000000000005,-0.028206462125453528,-0.023744682505630898,0.9740707197969565,6.273170994218804,0.017811772416084004,0.0,-0.0939331978172426,-0.07402177348008666,1.9977420625775335,0.0143158429847916,0.05432070473214978,0.0,452.55621506275077,454.7864944057069,453.15121572823233,453.55516827703735
0.9600000000000005,-0.03438635499269789,-0.02847721096264775,1.1058076915640334,6.27397826915578,0.020793167227855847,0.0,-0.11250718123919519,-0.08360057196701631,2.392742451032858,0.011673922670305717,0.038290471293349164,0.0,526.891219395971,525.7829691093693,525.388719775719,525.2053823503805
1.0200000000000005,-0.041641167346637274,-0.03370899795187311,1.2554754585747632,6.274782196455838,0.02274874831688667,0.0,-0.12956418192343225,-0.09070007713588715,2.5957390575946757,0.016642707357705514,0.017650587413002215,0.0,475.0777367939007,473.4928913823118,473.13454097786587,473.51679403496775
